Address,Latitude,Longitude,MapAddress,Name
"Hajvery Plaza, Blue Area",33.7232169,73.0825497,"Hajveri Plaza, Shop 3, 22/B, Jinnah Ave, Block B, Blue Area, G 6/3 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",Four Star Pharmacy
"Main Murree Road, Bhara kahu Islamabad",33.741531,73.1832415,"N-75, Bhara Kahu, Islamabad, Islamabad Capital Territory, Pakistan",D. Watson Pharmacy
Sector I-10/3 Islamabad,33.650297,73.03831,"Plot # 142, Street # 09, I/10-3, I 10/3 I-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",D.S. Pharma Distributor
"Murree Road, Bhara kahu Islamabad",33.741531,73.1832415,"N-75, Bhara Kahu, Islamabad, Islamabad Capital Territory, Pakistan",Amin Pharmacy
"Allah Dad, G-8 Markaz Islamabad",33.6992033,73.0485892,"Markaz Rd, G-8 Markaz G 8 Markaz G-8, Islamabad, Islamabad Capital Territory, Pakistan",Waheed Pharmacy
"I & T Centre, G-9/4 Islamabad",33.6860674,73.04511839999999,"Street 55, G-9/4 G 9/4 G-9, Islamabad, Islamabad Capital Territory, Pakistan",Elixir Medical Store
"Block-7 G-6 Main Civic Centre, Melody Market",33.7169396,73.0851668,"G-6 Markaz G 6 Markaz G-6, Islamabad, Islamabad Capital Territory, Pakistan",Truworth Distributor
"Benazir Chowk, Fateh Jang Road, Tarnol",33.6555905,72.9076669,"Tarnol, Islamabad, Islamabad Capital Territory, Pakistan",Haris Medical Store
Madina Pharmacy,41.1083433,29.0338172,"Reşitpaşa Mahallesi, ARI 2 Teknokent Binası,, İTÜ Ayazağa Kampüsü D:4, 34467 Sarıyer/İstanbul, Turkey",Arneca International Distributor
"Al-Nafees Hospital, Ali Pur farash Islamabad",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Omar Pharmacy
61-Jinnah Avenue,33.7191444,73.07328559999999,"Jinnah Ave, Islamabad, Islamabad Capital Territory, Pakistan",Islamabad Clinic Servicing Infertile Couples Pvt Ltd Pharmacy
"Shop No 5,  Pervaiz Plaza, G-6/1-1",33.7091231,73.0835367,"16 Street 48, G-6/1 G 6/1 G-6, Islamabad, Islamabad Capital Territory, Pakistan",BaB Medical Store
"Sector-J, DHA Phase-II",33.5348727,73.1708822,"Sector G Sector J DHA Phase II, Islamabad, Islamabad Capital Territory, Pakistan",Yashfi Pharmacy
Sector E-11/2,33.6993751,72.9741767,"Street 43، SCHS E 11/2 E-11, Islamabad, Islamabad Capital Territory, Pakistan",Redx Pharmacy
"Trammari Chowk, Tarlai",33.6424851,73.13363199999999,"Java Rd, Burma Town, Islamabad, Islamabad Capital Territory, Pakistan",Anum Medical Store
"Gondal Plaza, Fazal-e-Haq Road Islamabad",33.7091039,73.05608269999999,"Block I, Blue Area, Islamabad, ICT, Pakistan",Talha Medical Store
I-10/3 Islamabad,33.6537916,73.03905189999999,"I-10/3 I-10, Islamabad, Islamabad Capital Territory, Pakistan",Premier Agencies Distributor
"Shaheen Market, I-10/1 Islamabad",33.6432774,73.0412195,"Sector I-10/1 I 10/1 I-10, Islamabad, Islamabad Capital Territory, Pakistan",Star Medical Store
"Dherik Mohri, Near Golra Railway Station",33.6705685,72.9476309,"Golra Rd, Islamabad, Islamabad Capital Territory, Pakistan",Ch. Brothers Medical Store
"Gondal Plaza, Blue Area",33.7091039,73.05608269999999,"Block I, Blue Area, Islamabad, ICT, Pakistan",City Medical Store
"Korang Shopping Centre, Korang Islamabd",33.647337,73.037523,"Korang Road, I-10, Islamabad, Islamabad Capital Territory, Pakistan",Korang Medical Store
"I & T Centre, G-9/4 Islamabad",33.684839,73.0428517,"Nishtar Market, St 55, G-9-4, G-9, G 9/4 G-9, Islamabad, Islamabad Capital Territory 44090, Pakistan",Khalid Medical Store
Margalla Town Islamabad,33.670764,73.105404,"33.670764,73.105404, Pakistan",Amin Medical Store
"Sharjah Centre, Sector G-10 Markaz Islamabad",25.3462553,55.4209317,Sharjah - United Arab Emirates,Lifetec Distributor
