Address,Latitude,Longitude,MapAddress,Name,"Registration Status(Reg No,& Date & Relevant Law"
"H#277-A, Margallah Road, F-11/2, Islamabad 0512212429. ",33.6834717,72.9800115,"F-11/2 F 11/2 F-11, Islamabad, Islamabad Capital Territory, Pakistan","Annur Welfare Society(Society for Health, Education and Social Welfare) ","VSWA/ICT/453, Date 13.10.2004 VSWA Ordinance 1961 "
"1ST Floor , 30-W ATS Center , Fazal- e-Haq Road , Blue Area , Islamabad. 051-2277229 ",33.6141114,73.1740628,"C-1, Gulberg Greens Block C Gulberg Greens, Islamabad, Islamabad Capital Territory, Pakistan",AOST & ABK Dosokai Islamabad Regional Centre ,"VSWA/ICT/495, Date 23.11.2006, VSWA Ordinance 1961 "
"Suit No.3, Ginza Center 3rd Floor Blue Area, Islamabad. 051-2874728 ",33.7121863,73.0615676,"3rd Floor, 11D Jinnah Ave, Block H G 7/2 Blue Area, Islamabad, Islamabad Capital Territory, Pakistan",Arrian Society. ,"VSWA/ICT/109, Date 9.6.1991 VSWA Ordinance 1961 "
Wafaqi Mohtasib Secretariat Benevolent Fund Building Islamabad. 051-9205431 ,33.69655,73.06779,"Benevolent Fund Building, G-7-1, G-7, Islamabad, ICT, Pakistan",Asian Ombudsmen Association (AOA) ,"VSWA/ICT/357, Date 1.10.2001 VSWA Ordinance 1961 "
"H.No.549 St.10 G-10/1, Islamabad. 051-2297585 ",33.6717693,73.01248559999999,"G-10/1 G 10/1 G-10, Islamabad, Islamabad Capital Territory, Pakistan","Association for Communities, Culture, Educational & Social Services. ","VSWA/ICT/277, Date 29.8.1997 VSWA Ordinance 1961 "
"Office No.2, 2nd Floor, Musarrat Arcade, G-11 Markaz, Islamabad. 051-2220904 ",33.6693215,72.9999393,"G-11 Markaz G 11 Markaz G-11, Islamabad, Islamabad Capital Territory, Pakistan",Association of People Living with HIV & AIDS ,"VSWA/ICT/524, Date 16-05-2008 VSWA Ordinance 1961 "
H.No.39/6-B St.70 G-7/1 Islamabad. ,33.7174349,73.0449289,"8 Street 70, F-8/3 F 8/3 F-8, Islamabad, Islamabad Capital Territory, Pakistan",Astore Employees Welfare Association. ,"VSWA/ICT/273, Date 22.7.1997 VSWA Ordinance 1961 "
No.1 Kashmir Plaza Blue Area Islamabad. 051-2274234 ,33.7234548,73.0839927,"Huma Plaza, AK Fazal-ul-Haq Rd, Block B, Blue Area, Islamabad, ICT, Pakistan",AWAKEN ,"VSWA/ICT/398, Date 10.9.2002 VSWA Ordinance 1961 "
"Shop No.3 Khan Market G-10/3 Islamabad., 051-2501220 ",33.68391,73.02042,"Street 50, G-10/3 G 10/3 G-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",Awami Khidmat Society. ,"VSWA/ICT/353, Date 15.8.2001 VSWA Ordinance 1961 "
"Mian G.T Road, Rawat, Islamabad. ",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",Baba Fazal-ud-Din Welfare Organization ,"VSWA/ICT/514, Date 04.10.2007 VSWA Ordinance 1961 "
