Address,Latitude,Longitude,MapAddress,Name,Total Employees
shop # 17 al-abbas plaza G-8 markaz Islamabad ,33.6964052,73.0495634,"Al-Abbas Plaza, G-8 Markaz, G-8, G 8 Markaz G-8, Islamabad, Islamabad Capital Territory 44000, Pakistan",aziz tailors ,3
block # 18 super market F-6 Islamabad ,33.728825,73.076076,"F-6 Markaz F 6 Markaz F-6, Islamabad, Islamabad Capital Territory, Pakistan",programming photo finishing ,6
shop # 15 shahnaz plaza markaz F-8 Islamabad ,33.711241,73.038106,"Shehnaz Plaza, Plot No 14-Y, Johar Rd, F-8 Markaz, F-8, Islamabad, ICT, F-8 Markaz F 8 Markaz F-8, Islamabad, Islamabad Capital Territory, Pakistan",irum boteek ,2
103 aabpara market Islamabad ,33.706362,73.086084,"103 Aabpara market, Aabpara G 6/1 G-6, Islamabad, Islamabad Capital Territory 44000, Pakistan",deen interprises ,1
house # 1 plot # 3 bhatti market G-10/3 Islamabad ,33.681759,73.01632,"Capital Territory, G-10/3 G 10/2 G-10, Islamabad, Islamabad Capital Territory, Pakistan",new anbala sweets and bakers ,2
shop # 3-c sun plaza F-10 markaz Islamabad ,33.6952308,73.0128546,"F-10 Markaz F-10, Islamabad, Islamabad Capital Territory, Pakistan",get smart dry cleaners and dryers ,4
shop # 2/3 chennab market G-7 Islamabad ,33.700455,73.068013,"Street 35, G-7/1 G 7/1 G-7, Islamabad, Islamabad Capital Territory, Pakistan",yaqoob autos workshop ,1
anzeeja plaza markaz G-10 Islamabad ,33.6756824,73.0161755,"G-10 Markaz G-10, Islamabad, Islamabad Capital Territory, Pakistan",alnajaf super store ,2
zarin chambers ict cente Islamabad ,33.596918,73.060624,"Shop 7, Gul-E-Aqra Plaza, Near Bank Of Punjab، Murree Rd, Saddar, Rawalpindi, Punjab 46000, Pakistan",DHL PAKISTAN pvt ltd ,17
37-8 I&T centre G-9/4 Islamabad ,33.683931,73.041449,"G-9/4 G 9/4 G-9, Islamabad, Islamabad Capital Territory, Pakistan",khan electronic ,1
37-7 I&T centre G-9/4 Islamabad ,33.683931,73.041449,"G-9/4 G 9/4 G-9, Islamabad, Islamabad Capital Territory, Pakistan",margalla fabrics ,2
plot # 1 shop # 1 basement F-10 markaz Islamabad ,33.696551,73.011671,"Shalimar Plaza, F-10 Markaz, F-10, F-10 Markaz F 10/3 F-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",style tailors ,3
12-D navel plaza blue area Islamabad ,33.7230792,73.082371,"22-W Service Rd, Hajvairy Plaza, Block B G 6/3 Blue Area, Islamabad, Islamabad Capital Territory 44000, Pakistan",gul awan printers ,3
plot # 32 I&T CENTRE G-8 Islamabad ,33.691234,73.055432,"G-8/4 G 8/4 G-8, Islamabad, Islamabad Capital Territory, Pakistan",Malken motors workshop ,3
4-A universal plaza F-10 markaz ,33.6954798,73.0135942,"Universal Plaza, 10th Ave, F-10 Markaz, F-10, F 10/3 F-10, Islamabad, Islamabad Capital Territory 44000, Pakistan",DAR internet pvt ltd ,15
shop # 7 plot # 19 G-9 Islamabad ,33.6894014,73.0316727,"G-9, Islamabad, Islamabad Capital Territory, Pakistan",Home Traders ,2
40 shop I&T Centre G-8/1 Islamabad ,33.6907445,73.0508582,"G-8/1 G 8/1 G-8, Islamabad, Islamabad Capital Territory, Pakistan",Arain Door ,2
"plot # 58, I&T centre G-8/1 Islamabad ",33.6970032,73.0567611,"G-8/4 G 8/4 G-8, Islamabad, Islamabad Capital Territory, Pakistan",ch trading corporation ,3
"3-A, Block 6 civic center islamabad ",33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",eagle stationery mart ,1
9 ittehad centre 67-E b lue area Islamabad ,33.7128408,73.0635401,"AK Fazal-ul-Haq Rd, Block H, Blue Area, Islamabad, ICT, Pakistan",mazhar stationery ,1
46/7 I&T cetnre G-8/1 Islamabad ,33.6907445,73.0508582,"G-8/1 G 8/1 G-8, Islamabad, Islamabad Capital Territory, Pakistan",zafar sajid steel works ,1
98 east shop # 4 panorama bule area ,33.70949,73.05651,"Jinnah Ave, Block I, Blue Area, Islamabad, ICT, Pakistan",super auto man ,2
plot # 409 st 19 industerial area Islamabad ,33.6844202,73.04788479999999,"Islamabad, Islamabad Capital Territory, Pakistan",wellcome pak ltd ,14
